Year,CDC_EPIWK,sum,CCNCT,Aggregate_ID,start_week
2015,42,3,13430,84,42
2015,43,1,13600,150,43
2016,6,1,13655,87,55
2016,9,1,13670,102,58
2016,25,1,13744,165,74
2016,4,1,13780,123,53
2016,8,2,13810,122,57
2016,7,2,15223,59,56
2016,8,1,15690,55,57
2016,5,1,15810,94,54
2016,24,1,15816,90,73
2016,17,1,15832,99,66
2016,8,1,15897,146,57
2015,45,1,17877,61,45
2016,5,2,18592,159,54
2016,2,2,18610,48,51
2015,49,1,18753,30,49
2016,6,1,18860,158,55
2016,9,1,19318,110,58
2015,49,1,19450,49,49
2016,4,1,19573,70,53
2016,4,1,19821,157,53
2016,3,1,19845,71,52
2016,1,1,20013,28,50
2016,2,10,20060,121,51
2016,1,4,20238,119,50
2016,1,5,20250,151,50
2016,8,1,20310,105,57
2016,3,1,20400,152,52
2016,3,1,20517,153,52
2016,1,3,20710,106,50
2016,2,1,20750,129,51
2016,4,3,20770,154,53
2016,1,2,23660,85,50
2016,1,3,23670,83,50
2016,2,1,23682,148,51
2016,1,7,23686,147,50
2016,1,3,23815,86,50
2016,4,1,25530,27,53
2016,5,1,25594,115,54
2016,2,1,25649,80,51
2015,49,1,25815,79,49
2016,1,33,25875,75,50
2016,1,1,25878,78,50
2016,1,1,25899,144,50
2016,20,1,27075,24,69
2016,7,1,27077,25,56
2016,1,1,27413,135,50
2016,4,1,27800,136,53
2016,3,1,41676,134,52
2015,49,1,41791,133,49
2016,3,1,41797,131,52
2016,1,2,41872,73,50
2015,42,1,41885,132,42
2016,1,2,44430,127,50
2015,42,1,44560,126,42
2016,1,4,44847,23,50
2016,1,5,44874,128,50
2016,1,16,47980,118,50
2016,2,1,50226,16,51
2016,6,1,50325,17,55
2016,7,2,50350,18,56
2016,15,2,50450,40,64
2015,44,1,50568,19,44
2016,6,3,50573,113,55
2016,4,1,50577,20,53
2016,5,7,50590,21,54
2016,5,1,50680,22,54
2016,3,2,50689,114,52
2016,3,1,50711,116,52
2015,49,1,52835,109,49
2015,42,1,54810,107,42
2015,43,1,54874,104,43
2016,26,1,63690,103,75
2016,12,1,68235,14,61
2016,5,2,68615,97,54
2016,1,4,68655,15,50
2015,49,1,68689,93,49
2016,4,2,68745,101,53
2016,7,1,68855,95,56
2016,30,1,68872,91,79
2016,7,2,68895,100,56
2016,4,5,73624,72,53
2016,1,2,73675,77,50
2016,14,1,73686,74,63
2015,44,1,73854,82,44
2016,3,1,76563,60,52
2016,1,1,76823,64,50
2015,45,1,76834,62,45
2016,2,1,76890,68,51
2016,1,1,76892,69,50
2015,49,1,81065,57,49
2016,17,1,81220,12,66
2016,1,1,81300,13,50
2015,49,2,81794,58,49
2016,4,2,85125,8,53
2016,6,1,85139,9,55
2016,4,1,85225,10,53
2016,2,1,85230,11,51
2016,10,1,85400,54,59
2015,44,2,85410,53,44
2016,1,1,85430,56,50
2015,49,1,86569,51,49
2016,5,2,86573,7,54
2016,1,1,86865,50,50
2015,42,37,88001,6,42
2016,1,32,88564,5,50
2016,24,3,91407,39,73
2016,24,18,91536,47,73
2016,13,1,91540,45,62
2015,45,1,95025,41,45
2016,13,1,95200,2,62
2016,3,2,99001,33,52
2016,1,3,99524,34,50
2016,13,1,99624,35,62
2016,6,3,99773,36,55
