"V1","V2"
0,40
37,38
37,143
39,45
40,2
40,41
40,143
112,17
112,21
112,22
112,34
112,35
112,36
112,60
112,80
112,114
112,116
112,143
112,157
144,64
144,73
144,76
144,99
144,108
144,146
4,45
45,47
45,143
5,6
6,143
49,143
51,143
52,9
52,11
52,16
52,54
52,113
52,124
52,143
52,161
61,143
72,77
72,143
73,50
73,132
73,133
73,143
81,143
89,14
89,91
89,93
89,94
89,95
89,96
89,97
89,102
89,105
89,106
89,143
89,150
89,154
92,143
103,143
104,8
104,63
104,90
104,107
104,143
109,143
118,143
125,23
125,122
125,123
125,127
125,128
125,143
125,152
125,164
125,168
126,143
129,143
129,151
135,25
135,143
143,13
143,18
143,19
143,30
143,33
143,42
143,48
143,56
143,58
143,65
143,66
143,71
143,79
143,130
143,145
143,147
143,155
143,158
143,160
143,162
143,163
143,166
143,174
155,110
158,7
163,53
163,84
163,111
166,24
166,26
166,27
166,62
166,78
166,85
166,87
166,88
166,98
166,136
166,137
166,138
166,139
166,141
166,148
166,167
166,169
166,170
166,171
166,173
12,13
13,59
31,136
42,44
