id,Year,CDC_EPIWK,sum,arrival
05001,2015,42,21,42
05002,2016,2,2,51
05030,2016,4,1,53
05031,2016,14,1,63
05034,2016,12,1,61
05036,2016,6,2,55
05040,2016,33,1,82
05042,2016,3,2,52
05044,2016,18,6,67
05045,2015,42,1,42
05051,2016,3,1,52
05055,2016,24,1,73
05059,2016,4,1,53
05079,2016,1,1,50
05086,2016,21,1,70
05088,2015,42,3,42
05091,2016,12,1,61
05093,2016,24,3,73
05101,2015,43,2,43
05113,2016,24,42,73
05120,2016,4,1,53
05125,2016,24,3,73
05129,2016,4,1,53
05138,2015,43,1,43
05142,2016,6,1,55
05145,2016,24,113,73
05147,2016,1,2,50
05148,2016,5,1,54
05150,2016,24,70,73
05154,2015,42,1,42
05172,2016,2,2,51
05190,2016,9,1,58
05197,2015,43,1,43
05209,2016,17,1,66
05212,2016,3,1,52
05234,2016,6,1,55
05237,2016,32,1,81
05240,2016,4,5,53
05250,2015,45,1,45
05264,2016,24,11,73
05266,2016,1,1,50
05282,2016,6,2,55
05284,2016,19,1,68
05306,2016,24,2,73
05308,2015,44,1,44
05310,2016,24,2,73
05313,2016,4,1,53
05318,2016,9,1,58
05321,2016,1,2,50
05347,2016,2,1,51
05353,2015,43,1,43
05360,2015,42,3,42
05361,2016,6,1,55
05364,2016,18,1,67
05368,2016,10,1,59
05376,2016,20,1,69
05380,2016,3,1,52
05390,2016,5,1,54
05400,2016,2,1,51
05411,2016,3,1,52
05425,2015,42,2,42
05440,2016,23,1,72
05467,2016,21,1,70
05475,2016,12,1,61
05480,2015,44,1,44
05483,2016,4,2,53
05490,2016,3,2,52
05495,2016,5,1,54
05501,2016,5,1,54
05541,2016,21,1,70
05543,2016,8,1,57
05579,2016,1,2,50
05585,2015,42,1,42
05591,2016,1,1,50
05604,2016,8,2,57
05615,2015,45,1,45
05628,2016,1,2,50
05631,2016,3,1,52
05642,2016,2,1,51
05647,2016,1,2,50
05649,2015,42,1,42
05652,2016,7,1,56
05656,2016,7,1,56
05659,2016,2,1,51
05660,2015,42,2,42
05664,2016,3,1,52
05665,2016,3,4,52
05667,2016,6,1,55
05670,2016,5,1,54
05679,2016,12,1,61
05690,2016,21,1,70
05697,2016,29,1,78
05736,2016,9,1,58
05756,2016,8,1,57
05761,2016,4,1,53
05789,2016,29,1,78
05790,2015,45,1,45
05819,2016,7,1,56
05837,2015,45,1,45
05842,2015,43,1,43
05847,2016,9,1,58
05854,2016,13,2,62
05856,2015,42,1,42
05858,2016,5,1,54
05861,2016,7,1,56
05887,2016,6,1,55
05890,2016,9,2,58
05893,2016,5,1,54
05895,2016,5,7,54
08001,2015,44,4,44
08078,2016,1,8,50
08137,2016,2,3,51
08141,2016,1,1,50
08296,2016,1,17,50
08372,2016,1,1,50
08421,2016,1,13,50
08433,2015,44,1,44
08436,2016,3,1,52
08520,2016,1,3,50
08549,2016,9,2,58
08558,2016,1,1,50
08560,2016,2,2,51
08573,2016,1,82,50
08606,2016,1,3,50
08634,2016,1,6,50
08638,2016,1,29,50
08675,2016,2,1,51
08685,2016,1,8,50
08758,2016,1,320,50
08770,2016,2,1,51
08832,2016,1,26,50
08849,2016,1,13,50
13001,2015,41,26,41
13006,2016,3,1,52
13042,2016,1,19,50
13052,2015,41,2,41
13062,2016,11,2,60
13074,2016,1,4,50
13140,2016,3,1,52
13160,2016,5,1,54
13188,2016,1,1,50
13212,2015,41,1,41
13222,2016,10,2,59
13244,2015,42,1,42
13248,2016,4,1,53
13268,2016,2,1,51
13430,2015,42,3,42
13433,2016,1,30,50
13440,2016,8,1,57
13442,2015,42,1,42
13458,2016,4,14,53
13468,2016,1,9,50
13473,2016,3,1,52
13490,2016,1,1,50
13549,2016,3,1,52
13580,2016,8,1,57
13600,2015,43,1,43
13620,2016,7,1,56
13647,2016,6,2,55
13650,2016,1,1,50
13654,2015,45,3,45
13655,2016,6,1,55
13657,2015,43,2,43
13667,2016,6,1,55
13670,2016,9,1,58
13673,2016,3,1,52
13683,2015,41,2,41
13688,2015,41,13,41
13744,2016,25,1,74
13760,2016,1,1,50
13780,2016,4,1,53
13810,2016,8,2,57
13836,2015,41,9,41
13838,2016,1,7,50
13873,2016,1,7,50
15001,2016,3,1,52
15087,2016,24,1,73
15092,2016,4,1,53
15097,2016,9,1,58
15104,2016,15,1,64
15109,2016,10,1,59
15135,2015,44,1,44
15176,2016,1,1,50
15185,2015,44,1,44
15212,2016,4,1,53
15223,2016,7,2,56
15238,2016,5,1,54
15299,2016,6,1,55
15322,2016,17,1,66
15377,2016,8,4,57
15403,2016,22,1,71
15425,2016,17,1,66
15442,2016,16,1,65
15455,2016,10,1,59
15469,2016,3,1,52
15480,2015,44,5,44
15494,2016,8,1,57
15507,2015,43,1,43
15514,2015,43,1,43
15518,2015,44,1,44
15531,2016,5,1,54
15572,2015,42,4,42
15580,2016,13,1,62
15638,2016,4,1,53
15664,2016,8,2,57
15667,2016,1,1,50
15681,2015,43,1,43
15686,2016,1,1,50
15690,2016,8,1,57
15753,2016,5,1,54
15755,2016,11,1,60
15759,2016,6,2,55
15776,2016,23,1,72
15778,2016,2,1,51
15804,2016,2,1,51
15806,2016,6,1,55
15810,2016,5,1,54
15816,2016,24,1,73
15832,2016,17,1,66
15842,2015,43,1,43
15897,2016,8,1,57
17001,2015,44,1,44
17013,2016,4,1,53
17042,2016,11,9,60
17050,2016,35,1,84
17174,2015,43,1,43
17272,2016,4,1,53
17380,2015,43,2,43
17433,2016,5,2,54
17442,2015,42,4,42
17444,2016,4,2,53
17486,2016,5,1,54
17495,2016,2,1,51
17513,2016,6,1,55
17524,2016,1,1,50
17541,2015,49,2,49
17614,2015,43,1,43
17616,2016,8,1,57
17662,2016,1,5,50
17665,2016,3,1,52
17777,2016,3,1,52
17867,2016,1,12,50
17873,2016,10,1,59
17877,2015,45,1,45
18001,2015,49,1,49
18029,2016,8,1,57
18094,2016,4,2,53
18150,2016,2,3,51
18205,2016,5,1,54
18247,2016,1,4,50
18256,2016,1,1,50
18410,2016,3,1,52
18460,2016,4,1,53
18479,2015,49,1,49
18592,2016,5,2,54
18610,2016,2,2,51
18753,2015,49,1,49
18756,2016,4,1,53
18785,2016,7,1,56
18860,2016,6,1,55
19001,2016,3,1,52
19022,2016,18,1,67
19050,2015,49,1,49
19075,2016,4,1,53
19100,2016,29,1,78
19110,2016,9,3,58
19130,2016,16,1,65
19137,2016,21,1,70
19142,2016,9,1,58
