V1,V2
5001,5034
5001,5045
5001,5079
5001,5088
5001,5101
5001,5107
5001,5129
5001,5154
5001,5190
5001,5197
5001,5234
5001,5266
5001,5318
5001,5321
5001,5360
5001,5364
5001,5380
5001,5631
5001,5649
5001,5656
5001,5664
5001,5686
5001,5697
5001,5761
5001,5887
5001,11001
5001,27001
5002,5756
5021,5690
5030,5129
5031,5887
5036,5129
5036,5347
5038,5686
5040,5250
5042,5306
5042,5411
5042,5761
5044,5240
5045,5147
5045,5172
5045,5837
5051,23001
5079,5237
5086,5686
5088,5212
5093,5347
5093,5847
5107,5361
5120,5790
5129,5282
5129,5467
5138,5284
5138,5306
5142,5585
5145,17013
5148,5615
5150,5310
5154,5495
5154,23350
5172,5480
5190,5310
5190,5690
5190,5890
5197,5652
5206,5321
5209,5347
5212,5308
5240,5761
5250,5495
5250,5895
5264,5664
5282,5368
5282,5390
5282,5576
5282,5642
5282,5679
5282,5792
5282,5809
5282,5861
5282,17013
5284,5842
5318,5674
5321,5541
5321,5667
5353,5576
5376,5400
5376,5615
5425,5579
5425,5858
5440,5615
5490,5659
5490,5837
5579,68190
5585,15572
5591,5756
5591,15572
5604,5736
5604,5858
5607,5615
5615,11001
5660,5756
5665,23807
5670,5690
5789,17013
5790,5854
5837,27006
5854,5887
5893,68081
8001,8078
8001,8137
8001,8296
8001,8372
8001,8433
8001,8436
8001,8520
8001,8558
8001,8560
8001,8573
8001,8606
8001,8634
8001,8638
8001,8758
8001,8832
8001,13001
8001,47161
8001,47745
8137,8141
8137,47258
8421,8549
8421,13001
8560,47605
8638,8849
11001,13001
11001,15001
11001,15176
11001,15238
11001,15322
11001,15380
11001,15407
11001,15469
11001,15861
11001,20001
11001,23001
11001,25126
11001,25151
11001,25175
11001,25178
11001,25181
11001,25183
11001,25214
11001,25269
11001,25286
11001,25290
11001,25307
11001,25312
11001,25320
11001,25322
11001,25326
11001,25377
11001,25386
11001,25402
11001,25426
11001,25430
11001,25473
11001,25491
11001,25513
11001,25580
11001,25658
11001,25736
11001,25754
11001,25758
11001,25769
11001,25772
11001,25799
11001,25817
11001,25843
11001,25875
11001,41001
11001,47001
11001,50001
11001,50568
11001,54001
11001,63001
11001,66001
11001,68001
11001,73001
11001,73352
11001,73449
11001,76520
11001,81001
11001,85001
11001,88001
11001,91001
11001,94001
11001,99001
13001,13052
13001,13222
13001,13244
13001,13430
13001,13433
13001,13442
13001,13647
13001,13657
13001,13673
13001,13683
13001,13836
13001,13838
13001,13873
13001,70001
13001,70713
13001,70820
13140,13062
13140,13657
13140,47541
13160,68575
13244,70508
13430,13188
13430,13549
13430,47707
13430,70110
13430,70771
13468,47692
13468,47703
13473,20295
13600,13042
13600,13810
13600,20383
13654,13657
13657,13248
13667,13074
13667,47245
13670,68615
13688,13744
13688,68615
15001,15476
15001,15646
15001,15764
15001,15814
15001,15879
15047,15759
15087,15162
15087,15238
15087,68264
15176,15442
15176,15531
15176,15632
15176,25745
15204,15814
15215,15759
15223,81736
15238,15276
15238,15516
15238,15537
15238,15759
15238,15806
15293,15469
15322,15761
15322,25436
15362,15806
15367,15804
15407,15776
15455,15514
15469,68077
15469,68324
15469,68327
15469,68572
15469,68773
15469,68861
15507,15531
15507,15681
15516,15690
15522,15248
15522,15332
15542,15806
15572,25572
15572,25885
15600,15776
15646,15762
15686,68770
15690,15667
15759,15092
15759,15466
15759,15491
15759,15820
15761,15236
15761,15798
15763,15814
15774,15753
15798,15842
15804,15861
15814,15740
15879,15514
15879,15897
17001,17050
17001,17174
17001,17486
17001,17524
17001,17616
17001,17777
17001,17873
17001,66001
17001,73347
17013,17513
17042,66088
17088,17877
17088,66001
17088,76243
17272,17486
17380,25320
17380,25572
17388,17442
17388,17486
17388,17653
17433,17444
17433,17541
17433,73283
17486,66594
17614,17777
17662,25572
17867,25320
18001,18094
18001,18150
18001,18205
18001,18256
18001,18410
18001,18479
18001,18610
